
capacity	voltage
2709.0084	3.7107
2711.0111	3.7104
2713.2347	3.7099
2715.3478	3.7096
2717.3502	3.7095
2719.5740	3.7090
2721.6871	3.7089
2723.8002	3.7084
2725.9133	3.7082
2728.0264	3.7079
2730.0283	3.7076
2732.1413	3.7073
2734.2544	3.7072
2736.3674	3.7069
2738.5920	3.7066
2740.5934	3.7063
2742.7065	3.7061
2744.8195	3.7058
2746.9325	3.7055
2749.0455	3.7052
2751.1586	3.7049
2753.1594	3.7046
2755.3846	3.7041
2757.4976	3.7038
2759.6107	3.7035
2761.7237	3.7034
2763.7241	3.7029
2765.9497	3.7028
2768.0628	3.7024
2770.2887	3.7020
