
capacity	voltage
1795.8540	3.8886
1797.8935	3.8882
1800.0796	3.8877
1802.1923	3.8872
1804.3051	3.8866
1806.4179	3.8863
1808.6020	3.8857
1810.6434	3.8854
1812.8277	3.8848
1814.8690	3.8845
1817.0534	3.8839
1819.1662	3.8834
1821.2073	3.8831
1823.3919	3.8825
1825.5048	3.8822
1827.6177	3.8817
1829.6583	3.8813
1831.7711	3.8807
1833.9562	3.8802
1836.0691	3.8798
1838.1094	3.8795
1840.2948	3.8788
1842.4076	3.8785
1844.4477	3.8781
1846.6333	3.8776
1848.6733	3.8773
1850.7860	3.8769
1853.0474	3.8762
1855.0116	3.8759
1857.1976	3.8755
1859.2371	3.8750
1861.3499	3.8746
1863.3867	3.8741
1865.5754	3.8737
1867.6882	3.8732
1869.8010	3.8729
1871.9137	3.8724
1873.9501	3.8721
1876.1393	3.8717
1878.2520	3.8711
1880.3648	3.8708
1882.4776	3.8703
1884.5903	3.8700
1886.7775	3.8694
1888.8159	3.8689
1890.9287	3.8685
1893.0414	3.8682
1895.1542	3.8677
1897.3418	3.8672
1899.3023	3.8669
1901.4925	3.8666
1903.6804	3.8662
1905.6404	3.8659
1907.8308	3.8654
1909.9436	3.8651
1912.1318	3.8645
1914.0911	3.8643
1916.3575	3.8637
1918.4703	3.8633
1920.5832	3.8628
1922.6202	3.8625
1924.8089	3.8621
1926.8457	3.8618
1928.9585	3.8614
1931.0713	3.8610
1933.3391	3.8605
1935.3731	3.8602
1937.4860	3.8598
1939.5224	3.8595
1941.6351	3.8592
1943.6687	3.8589
1945.8607	3.8584
1948.0503	3.8578
1950.0067	3.8575
1952.2760	3.8570
1954.3117	3.8567
1956.4245	3.8564
1958.6944	3.8558
1960.6500	3.8556
1962.8402	3.8552
1965.0332	3.8547
1967.1461	3.8544
1969.1788	3.8541
1971.2139	3.8538
1973.3267	3.8534
1975.4394	3.8529
1977.5522	3.8524
1979.6650	3.8521
1981.7777	3.8517
1983.8905	3.8514
1986.0816	3.8509
1988.1160	3.8506
1990.1477	3.8503
1992.3416	3.8499
1994.4544	3.8495
1996.5671	3.8491
1998.5984	3.8488
2000.7927	3.8483
2002.9844	3.8480
2005.0973	3.8476
2007.1310	3.8474
2009.2437	3.8468
2011.3565	3.8465
2013.5487	3.8460
2015.5821	3.8457
2017.7744	3.8453
2019.7253	3.8450
2021.9204	3.8447
2024.0331	3.8444
2026.1459	3.8439
2028.2587	3.8436
2030.3714	3.8434
2032.4842	3.8430
2034.6772	3.8427
2036.7097	3.8424
2038.7394	3.8421
2040.8521	3.8418
2042.9648	3.8413
2045.0775	3.8408
2047.2736	3.8405
2049.3028	3.8402
2051.4991	3.8399
2053.6929	3.8395
2055.7247	3.8393
2057.8374	3.8389
2059.9502	3.8386
2061.9789	3.8383
2064.1757	3.8378
2066.2885	3.8375
2068.3170	3.8372
2070.5957	3.8369
2072.7086	3.8366
2074.7396	3.8361
2076.9343	3.8358
2079.0471	3.8354
2081.1600	3.8349
2083.1907	3.8346
2085.3034	3.8344
2087.4162	3.8340
2089.6114	3.8335
2091.7243	3.8332
2093.9224	3.8329
2095.8673	3.8328
2097.9801	3.8323
2100.0928	3.8320
2102.2056	3.8315
2104.4014	3.8314
2106.4311	3.8309
2108.5439	3.8306
2110.7399	3.8302
2112.7694	3.8300
2114.9656	3.8294
2116.9950	3.8293
2119.1078	3.8288
2121.2205	3.8285
2123.3333	3.8282
2125.5299	3.8279
2127.5588	3.8276
2129.5848	3.8273
2131.6975	3.8271
2133.8102	3.8267
2135.9229	3.8265
2138.0355	3.8262
2140.1482	3.8257
2142.2609	3.8254
2144.5456	3.8250
2146.5738	3.8248
2148.5990	3.8245
2150.7993	3.8242
2152.9121	3.8238
2154.9370	3.8235
2157.1376	3.8230
2159.2504	3.8227
2161.2751	3.8225
2163.4759	3.8222
2165.5004	3.8219
2167.7015	3.8216
2169.8142	3.8213
2171.9270	3.8210
2174.0398	3.8207
2176.1525	3.8204
2178.2653	3.8201
2180.2892	3.8199
2182.4019	3.8195
2184.6036	3.8192
2186.7164	3.8189
2188.9155	3.8183
2190.9419	3.8181
2192.9653	3.8178
2195.0780	3.8175
2197.1907	3.8172
2199.3930	3.8169
2201.5926	3.8166
