Capacity (mAh), Voltage (V)
0.282225792, 4.379282609
0.282556347, 4.379282609
0.282953014, 4.37923416
0.283283569, 4.378841869
0.283680236, 4.378710251
0.284010792, 4.37831796
0.284341347, 4.378282609
0.284738014, 4.378
0.285134681, 4.378
0.285465236, 4.377704926
0.285795792, 4.377595243
0.286192458, 4.377181017
0.286523014, 4.377071335
0.286919681, 4.376939716
0.287250236, 4.376830035
0.287646903, 4.376415807
0.287977389, 4.376306149
0.288373972, 4.376282609
0.288704528, 4.376
0.289101194, 4.376
0.28943175, 4.375693142
0.289828417, 4.375561523
0.290158972, 4.375451841
0.290555639, 4.375037614
0.290886194, 4.374927933
0.291282861, 4.374796314
0.291613417, 4.374404024
0.292010083, 4.374282609
0.292340639, 4.374282609
0.292671194, 4.374
0.293067861, 4.374
0.293530639, 4.373534486
0.293861194, 4.373402868
0.29419175, 4.373282609
0.294522306, 4.373
0.294918972, 4.373
0.295249528, 4.372717391
0.295580083, 4.372555675
0.29597675, 4.372075639
0.296307306, 4.371911116
0.296703972, 4.371713689
0.297034528, 4.371565217
0.297365083, 4.371282609
0.29776175, 4.371
0.298092306, 4.371
0.298488972, 4.370941478
0.298819528, 4.370831789
0.299216194, 4.370417554
0.29954675, 4.370307865
0.299943417, 4.369872347
0.300273972, 4.369740712
0.300670556, 4.369582783
0.301067139, 4.369565217
0.301397694, 4.369282609
0.301794361, 4.369282609
0.302124917, 4.368966819
0.302455472, 4.368857137
0.302786028, 4.368747455
0.303116583, 4.368355165
0.30351325, 4.368223543
0.303843806, 4.367831245
0.304240472, 4.367699619
0.304571028, 4.36758993
0.304901583, 4.367565217
0.30529825, 4.367282609
0.305628806, 4.367282609
0.306025472, 4.366976864
0.306422139, 4.366845237
0.306752694, 4.366735549
0.307149361, 4.366321313
0.307479917, 4.366211624
0.307810472, 4.365819327
0.308207139, 4.3656877
0.308405472, 4.365339278
0.308537667, 4.36557802
0.30893425, 4.365282609
0.309264806, 4.365282609
0.309661472, 4.365282609
0.309992028, 4.36496501
0.310388694, 4.364833384
0.310785361, 4.364701757
0.311248139, 4.364265584
0.311578694, 4.364155895
0.311975361, 4.36374166
0.312305917, 4.363631971
0.312702583, 4.363282609
0.313033139, 4.363282609
0.313429806, 4.363
0.313760361, 4.362946468
0.314090917, 4.362836786
0.314553694, 4.362400623
0.314950361, 4.362269004
0.315347028, 4.362137386
0.315677583, 4.361745096
0.31607425, 4.361613477
