Capacity (mAh), Voltage (V)
0.101448855, 0.102794349
0.101500418, 0.102814628
0.101551981, 0.102834907
0.101603544, 0.102855186
0.101655107, 0.102875465
0.10170667, 0.102895744
0.101758233, 0.102916024
0.101809795, 0.102936303
0.101861358, 0.102956582
0.101912921, 0.102976861
0.101964484, 0.10299714
0.102016047, 0.103017419
0.10206761, 0.103037698
0.102119172, 0.103057977
0.102170735, 0.103078256
0.102222298, 0.10309695
0.102273861, 0.103102847
0.102325424, 0.103108745
0.102376987, 0.103114642
0.102428549, 0.10312054
0.102480112, 0.103126437
0.102531675, 0.103132335
0.102583238, 0.103138232
0.102634801, 0.10314413
0.102686364, 0.103149195
0.102737926, 0.103153864
0.102789489, 0.103158534
0.102841052, 0.103163204
0.102892615, 0.103167874
0.102944178, 0.103172543
0.102995741, 0.103177213
0.103047304, 0.103181883
0.103098866, 0.103186553
0.103150429, 0.103191223
0.103201992, 0.103195893
0.103253555, 0.103200562
0.103305118, 0.103205232
0.103356681, 0.103209902
0.103408243, 0.103217348
0.103459806, 0.103226461
0.103511369, 0.103235574
0.103562932, 0.103244687
0.103614495, 0.103253801
0.103666058, 0.103262914
0.10371762, 0.103272027
0.103769183, 0.10328114
0.103820746, 0.103292404
0.103872309, 0.103312683
0.103923872, 0.103332962
0.103975435, 0.103353242
0.104026997, 0.103373521
0.10407856, 0.1033938
0.104130123, 0.103414079
0.104181686, 0.103421014
0.104233249, 0.103360855
0.104284812, 0.103300696
0.104336375, 0.103240537
0.104387937, 0.103180378
0.1044395, 0.103120219
0.104491063, 0.10306006
0.104542626, 0.103011093
0.104594189, 0.103031372
0.104645752, 0.103051651
0.104697314, 0.10307193
0.104748877, 0.10309221
0.10480044, 0.103112489
0.104852003, 0.103132768
0.104903566, 0.103153047
0.104955129, 0.103173326
0.105006691, 0.103185953
0.105058254, 0.10319541
0.105109817, 0.103204867
0.10516138, 0.103214324
0.105212943, 0.103223781
0.105264506, 0.103233238
0.105316068, 0.103242695
0.105367631, 0.103246758
0.105419194, 0.103248305
0.105470757, 0.103249852
0.10552232, 0.103251399
0.105573883, 0.103252946
0.105625445, 0.103254492
0.105677008, 0.103256039
0.105728571, 0.103257586
0.105780134, 0.103259133
0.105831697, 0.103260679
0.10588326, 0.103262226
0.105934823, 0.103263773
0.105986385, 0.10326532
0.106037948, 0.103266866
0.106089511, 0.103268413
0.106141074, 0.103271954
0.106192637, 0.103282385
0.1062442, 0.103292815
0.106295762, 0.103303246
0.106347325, 0.103313677
0.106398888, 0.103324107
0.106450451, 0.103334538
0.106502014, 0.103331008
0.106553577, 0.103270848
0.106605139, 0.103210689
0.106656702, 0.103150529
0.106708265, 0.10309037
0.106759828, 0.103030211
0.106811391, 0.102970051
0.106862954, 0.102923651
0.106914516, 0.10294393
0.106966079, 0.10296421
0.107017642, 0.102984489
0.107069205, 0.103004768
0.107120768, 0.103025047
0.107172331, 0.103045326
0.107223894, 0.103065605
0.107275456, 0.103085884
0.107327019, 0.103106163
0.107378582, 0.103126442
0.107430145, 0.103146721
0.107481708, 0.103167
0.107533271, 0.103187279
0.107584833, 0.103207558
0.107636396, 0.103227837
0.107687959, 0.103239684
0.107739522, 0.103248123
0.107791085, 0.103256563
0.107842648, 0.103265002
0.10789421, 0.103273441
0.107945773, 0.103281881
0.107997336, 0.10329032
0.108048899, 0.10329876
0.108100462, 0.103306143
0.108152025, 0.103310813
0.108203587, 0.103315482
0.10825515, 0.103320152
0.108306713, 0.103324822
0.108358276, 0.103329492
0.108409839, 0.103334162
0.108461402, 0.103338832
0.108512965, 0.103343501
0.108564527, 0.103348171
0.10861609, 0.103352841
0.108667653, 0.103357511
0.108719216, 0.103362181
0.108770779, 0.10336685
0.108822342, 0.103371951
0.108873904, 0.103378523
0.108925467, 0.103385094
0.10897703, 0.103391665
0.109028593, 0.103398236
0.109080156, 0.103404808
0.109131719, 0.103411379
0.109183281, 0.10341795
0.109234844, 0.103424522
0.109286407, 0.103378066
0.10933797, 0.103317907
0.109389533, 0.103257748
0.109441096, 0.103197589
0.109492658, 0.10313743
0.109544221, 0.103077271
0.109595784, 0.103017112
0.109647347, 0.103018721
0.10969891, 0.103039
0.109750473, 0.103059279
0.109802035, 0.103079558
0.109853598, 0.103099837
0.109905161, 0.103120117
0.109956724, 0.103140396
0.110008287, 0.103160675
0.11005985, 0.103180954
0.110111413, 0.103201233
0.110162975, 0.103221512
0.110214538, 0.103241791
0.110266101, 0.103262046
0.110317664, 0.103282199
0.110369227, 0.103302352
0.11042079, 0.103320659
0.110472352, 0.103334843
0.110523915, 0.103349027
0.110575478, 0.10336321
0.110627041, 0.103377394
0.110678604, 0.103391577
0.110730167, 0.103405761
0.110781729, 0.103417222
0.110833292, 0.103421765
0.110884855, 0.103426307
0.110936418, 0.10343085
