
capacity	voltage
2662.4115	3.7336
2664.6331	3.7334
2666.7462	3.7331
2668.8593	3.7330
2670.9724	3.7325
2672.9766	3.7325
2675.0897	3.7322
2677.2027	3.7319
2679.4249	3.7317
2681.4287	3.7316
2683.7605	3.7313
2685.7642	3.7310
2687.8773	3.7308
2689.9904	3.7305
2692.2133	3.7302
2694.2167	3.7301
2696.4397	3.7298
2698.4429	3.7298
2700.4460	3.7295
2702.7792	3.7292
2704.6720	3.7290
2707.0056	3.7288
2708.8981	3.7287
2711.0111	3.7284
2713.3452	3.7281
2715.3478	3.7279
2717.4609	3.7278
2719.5740	3.7275
2721.6871	3.7270
2723.9112	3.7269
2725.8023	3.7267
2728.1376	3.7264
2730.0283	3.7263
2732.2527	3.7261
2734.4772	3.7258
2736.5904	3.7256
2738.5920	3.7253
2740.7051	3.7252
2742.9300	3.7249
2744.9313	3.7247
2746.9325	3.7246
2749.1576	3.7243
2751.1586	3.7241
2753.2716	3.7240
2755.3846	3.7237
2757.6100	3.7235
2759.6107	3.7232
2761.7237	3.7230
2763.8367	3.7227
2766.1752	3.7226
2768.0628	3.7223
2770.1758	3.7221
